Date and Time, Julian Day, RA (J2000), Dec (J2000), Mag., Phase, "Dist., AU", Elong.
1985-01-01 06:17:00, 2446066.47014,   19h08m29.1s, -51°20'34.1", 21.41, 99.99%, 29.356788, +28°38'53.5"
1985-01-11 06:16:59, 2446076.47014,   19h10m38.4s, -51°17'21.4", 27.55, 99.99%, 29.304605, +29°43'18.3"
1985-01-21 06:16:59, 2446086.47014,   19h12m46.3s, -51°15'44.2", 21.56, 99.99%, 29.226951, +33°31'01.3"
1985-01-31 06:16:59, 2446096.47014,   19h14m49.2s, -51°15'45.1", 20.63, 99.99%, 29.124715, +39°14'39.6"
1985-02-10 06:16:59, 2446106.47013,   19h16m43.9s, -51°17'23.6", 20.34, 99.98%, 28.999820, +46°10'19.1"
1985-02-20 06:16:59, 2446116.47013,   19h18m27.1s, -51°20'37.9", 20.20, 99.98%, 28.854621, +53°49'32.1"
1985-03-02 06:16:59, 2446126.47013,   19h19m56.0s, -51°25'23.7", 20.11, 99.98%, 28.692091, +61°54'49.7"
1985-03-12 06:16:59, 2446136.47013,   19h21m07.8s, -51°31'33.4", 20.05, 99.97%, 28.515926, +70°15'24.7"
1985-03-22 06:16:59, 2446146.47013,   19h22m00.4s, -51°38'58.0", 20.01, 99.97%, 28.329904, +78°45'03.9"
1985-04-01 06:16:59, 2446156.47013,   19h22m31.7s, -51°47'25.1", 19.97, 99.97%, 28.138282, +87°18'47.1"
1985-04-11 06:16:59, 2446166.47013,   19h22m40.5s, -51°56'39.3", 19.94, 99.97%, 27.945530, +95°52'27.4"
1985-04-21 06:16:59, 2446176.47013,   19h22m26.1s, -52°06'23.9", 19.92, 99.97%, 27.755873, +104°22'55.0"
1985-05-01 06:16:58, 2446186.47013,   19h21m48.2s, -52°16'19.1", 19.91, 99.97%, 27.573743, +112°45'36.5"
1985-05-11 06:16:58, 2446196.47013,   19h20m47.7s, -52°26'03.9", 19.91, 99.98%, 27.403224, +120°54'40.0"
1985-05-21 06:16:58, 2446206.47012,   19h19m25.7s, -52°35'17.2", 19.93, 99.98%, 27.247930, +128°42'13.4"
1985-05-31 06:16:58, 2446216.47012,   19h17m44.3s, -52°43'36.9", 19.97, 99.98%, 27.111324, +135°54'38.0"
1985-06-10 06:16:58, 2446226.47012,   19h15m46.7s, -52°50'43.0", 20.06, 99.99%, 26.996059, +142°10'10.3"
1985-06-20 06:16:58, 2446236.47012,   19h13m36.1s, -52°56'17.7", 20.28, 99.99%, 26.904224, +146°55'30.1"
1985-06-30 06:16:58, 2446246.47012,   19h11m16.7s, -53°00'05.6", 21.05, 99.99%, 26.837395, +149°26'42.5"
1985-07-10 06:16:58, 2446256.47012,   19h08m53.1s, -53°01'56.7", 28.14, 99.99%, 26.796107, +149°10'16.9"
1985-07-20 06:16:58, 2446266.47012,   19h06m29.9s, -53°01'44.8", 21.04, 99.99%, 26.780372, +146°10'11.4"
1985-07-30 06:16:58, 2446276.47012,   19h04m11.9s, -52°59'28.6", 20.25, 99.99%, 26.789438, +141°04'18.4"
1985-08-09 06:16:58, 2446286.47012,   19h02m03.6s, -52°55'12.6", 20.00, 99.98%, 26.821595, +134°35'19.4"
1985-08-19 06:16:57, 2446296.47012,   19h00m09.1s, -52°49'04.8", 19.89, 99.98%, 26.874760, +127°14'08.7"
1985-08-29 06:16:57, 2446306.47011,   18h58m32.1s, -52°41'17.6", 19.83, 99.97%, 26.946037, +119°20'54.2"
1985-09-08 06:16:57, 2446316.47011,   18h57m15.2s, -52°32'06.8", 19.79, 99.97%, 27.031947, +111°07'43.3"
1985-09-18 06:16:57, 2446326.47011,   18h56m20.7s, -52°21'49.4", 19.77, 99.97%, 27.128837, +102°41'56.6"
1985-09-28 06:16:57, 2446336.47011,   18h55m49.9s, -52°10'44.6", 19.76, 99.97%, 27.232434, +94°09'21.5"
1985-10-08 06:16:57, 2446346.47011,   18h55m43.2s, -51°59'11.6", 19.76, 99.97%, 27.338403, +85°33'53.8"
1985-10-18 06:16:57, 2446356.47011,   18h56m00.5s, -51°47'28.8", 19.76, 99.97%, 27.442452, +76°58'49.2"
1985-10-28 06:16:57, 2446366.47011,   18h56m40.8s, -51°35'54.6", 19.78, 99.97%, 27.540038, +68°28'31.8"
1985-11-07 06:16:57, 2446376.47011,   18h57m42.5s, -51°24'45.7", 19.79, 99.97%, 27.627084, +60°07'43.4"
1985-11-17 06:16:57, 2446386.47011,   18h59m03.7s, -51°14'16.9", 19.82, 99.98%, 27.699743, +52°03'10.8"
1985-11-27 06:16:57, 2446396.47011,   19h00m41.7s, -51°04'42.4", 19.87, 99.98%, 27.754398, +44°26'39.5"
1985-12-07 06:16:57, 2446406.47010,   19h02m33.7s, -50°56'13.6", 19.95, 99.99%, 27.788271, +37°36'49.1"
1985-12-17 06:16:56, 2446416.47010,   19h04m36.5s, -50°49'00.9", 20.10, 99.99%, 27.798971, +32°05'13.9"
1985-12-27 06:16:56, 2446426.47010,   19h06m46.7s, -50°43'13.0", 20.50, 99.99%, 27.784779, +28°39'32.3"
1986-01-06 06:16:56, 2446436.47010,   19h09m00.9s, -50°38'56.3", 22.33, 99.99%, 27.744951, +28°06'50.8"
1986-01-16 06:16:56, 2446446.47010,   19h11m15.4s, -50°36'16.2", 22.94, 99.99%, 27.679203, +30°36'41.9"
1986-01-26 06:16:56, 2446456.47010,   19h13m26.6s, -50°35'16.0", 20.55, 99.99%, 27.588192, +35°30'29.6"
1986-02-05 06:16:56, 2446466.47010,   19h15m31.1s, -50°35'56.7", 20.07, 99.98%, 27.473403, +41°57'41.5"
1986-02-15 06:16:56, 2446476.47010,   19h17m25.4s, -50°38'18.1", 19.88, 99.98%, 27.336748, +49°21'15.3"
1986-02-25 06:16:56, 2446486.47010,   19h19m06.3s, -50°42'17.0", 19.77, 99.98%, 27.181074, +57°18'00.7"
1986-03-07 06:16:56, 2446496.47010,   19h20m31.0s, -50°47'47.4", 19.70, 99.97%, 27.009682, +65°34'48.2"
1986-03-17 06:16:56, 2446506.47009,   19h21m36.8s, -50°54'42.0", 19.64, 99.97%, 26.826174, +74°03'38.8"
1986-03-27 06:16:56, 2446516.47009,   19h22m21.4s, -51°02'49.0", 19.60, 99.97%, 26.634812, +82°38'35.1"
1986-04-06 06:16:55, 2446526.47009,   19h22m43.2s, -51°11'55.0", 19.57, 99.96%, 26.439834, +91°15'52.7"
1986-04-16 06:16:55, 2446536.47009,   19h22m41.1s, -51°21'43.5", 19.54, 99.97%, 26.245608, +99°52'07.4"
1986-04-26 06:16:55, 2446546.47009,   19h22m14.4s, -51°31'55.1", 19.53, 99.97%, 26.056694, +108°23'04.8"
1986-05-06 06:16:55, 2446556.47009,   19h21m23.5s, -51°42'08.9", 19.52, 99.97%, 25.877183, +116°44'28.7"
1986-05-16 06:16:55, 2446566.47009,   19h20m09.1s, -51°52'02.7", 19.52, 99.98%, 25.711103, +124°49'47.9"
1986-05-26 06:16:55, 2446576.47009,   19h18m33.3s, -52°01'13.0", 19.54, 99.98%, 25.562131, +132°28'20.6"
1986-06-05 06:16:55, 2446586.47009,   19h16m38.5s, -52°09'18.3", 19.60, 99.98%, 25.433181, +139°23'48.5"
1986-06-15 06:16:55, 2446596.47008,   19h14m28.1s, -52°15'57.4", 19.74, 99.99%, 25.326890, +145°08'43.3"
1986-06-25 06:16:55, 2446606.47008,   19h12m06.1s, -52°20'52.6", 20.10, 99.99%, 25.245078, +149°01'50.7"
1986-07-05 06:16:55, 2446616.47008,   19h09m37.0s, -52°23'50.7", 21.95, 99.99%, 25.188730, +150°18'18.7"
1986-07-15 06:16:55, 2446626.47008,   19h07m05.8s, -52°24'41.9", 22.19, 99.99%, 25.158364, +148°38'26.4"
1986-07-25 06:16:54, 2446636.47008,   19h04m37.5s, -52°23'22.8", 20.10, 99.99%, 25.153443, +144°27'09.4"
1986-08-04 06:16:54, 2446646.47008,   19h02m17.0s, -52°19'54.9", 19.69, 99.98%, 25.172765, +138°30'11.4"
1986-08-14 06:16:54, 2446656.47008,   19h00m08.9s, -52°14'24.5", 19.53, 99.98%, 25.214558, +131°26'45.6"
1986-08-24 06:16:54, 2446666.47008,   18h58m17.4s, -52°07'03.2", 19.45, 99.97%, 25.276082, +123°42'58.2"
1986-09-03 06:16:54, 2446676.47008,   18h56m45.6s, -51°58'05.8", 19.40, 99.97%, 25.354272, +115°33'59.9"
1986-09-13 06:16:54, 2446686.47008,   18h55m36.4s, -51°47'49.4", 19.38, 99.97%, 25.445530, +107°09'36.1"
1986-09-23 06:16:54, 2446696.47007,   18h54m51.5s, -51°36'34.1", 19.36, 99.96%, 25.545669, +98°36'23.3"
1986-10-03 06:16:54, 2446706.47007,   18h54m31.7s, -51°24'39.3", 19.36, 99.96%, 25.650561, +89°58'17.5"
1986-10-13 06:16:54, 2446716.47007,   18h54m37.3s, -51°12'25.1", 19.36, 99.96%, 25.755725, +81°19'10.0"
1986-10-23 06:16:54, 2446726.47007,   18h55m07.5s, -51°00'10.9", 19.36, 99.97%, 25.856637, +72°42'48.9"
1986-11-02 06:16:54, 2446736.47007,   18h56m01.0s, -50°48'14.3", 19.38, 99.97%, 25.949151, +64°12'47.6"
1986-11-12 06:16:54, 2446746.47007,   18h57m16.0s, -50°36'52.1", 19.40, 99.97%, 26.029061, +55°54'55.1"
1986-11-22 06:16:53, 2446756.47007,   18h58m50.0s, -50°26'19.0", 19.43, 99.98%, 26.092676, +47°57'52.6"
1986-12-02 06:16:53, 2446766.47007,   19h00m40.1s, -50°16'47.6", 19.49, 99.98%, 26.136883, +40°35'16.2"
1986-12-12 06:16:53, 2446776.47007,   19h02m43.3s, -50°08'29.7", 19.60, 99.99%, 26.158847, +34°11'40.1"
1986-12-22 06:16:53, 2446786.47007,   19h04m55.9s, -50°01'34.5", 19.83, 99.99%, 26.156668, +29°27'19.7"
1987-01-01 06:16:53, 2446796.47006,   19h07m14.7s, -49°56'09.6", 20.57, 99.99%, 26.129078, +27°15'31.2"
1987-01-11 06:16:53, 2446806.47006,   19h09m35.7s, -49°52'21.9", 26.42, 99.99%, 26.075379, +28°12'54.6"
1987-01-21 06:16:53, 2446816.47006,   19h11m55.1s, -49°50'15.3", 20.77, 99.99%, 25.995961, +32°02'21.3"
1987-01-31 06:16:53, 2446826.47006,   19h14m09.6s, -49°49'52.4", 19.83, 99.99%, 25.891740, +37°52'05.8"
1987-02-10 06:16:53, 2446836.47006,   19h16m15.2s, -49°51'14.4", 19.54, 99.98%, 25.764358, +44°54'56.8"
1987-02-20 06:16:53, 2446846.47006,   19h18m08.6s, -49°54'19.1", 19.40, 99.98%, 25.616376, +52°40'39.1"
